Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
NVDA.OQ,493.55,3410000000.0,10953000000,13.8694383240855,2466000000,3389000000,4368000000,10042604290,262000000,26696744.0,47.3399107965317,23073000000.0,18109000000.0,6563000000.0,12338.75,147.762382640353,4.4115621612882,5.619636628218,1219068500000.0
SRPT.OQ,121.01,-356170000.0,1544292000,9.09664623151821,87950120,966777000,-703488000,-125900000,53248000,4430080.0,17.7606253746884,2557861000.0,570505000.0,619604000.0,0.0,0.0,3.38421563204829,11.6431405111172,11287679931.02
KTOS.OQ,16.09,-71100000.0,301800000,5.16339869281045,125985310,81300000,-36900000,22339100,17700000,3087365.0,95.8042453005908,582600000.0,968900000.0,234200000.0,0.0,182.840909090909,78.7445971805425,6.62690523525513,2060472302.74
HA.OQ,8.58,-105284000.0,1732735000,-7.74193548387097,51450900,229122000,-240081000,20000000,91571000,4809716.0,4.61870228905004,1678307000.0,2461316000.0,1120324000.0,0.0,0.0,63.1805577099109,-25.9706643658326,443005176.9
KRNY.OQ,7.41,39695000.0,225000000,-7.375,65864080,,40811000,,117859000,1673901.0,16.3902474901629,,,,67.3636363636364,52.9285714285714,187.208027200688,-12.6086107923518,483242431.23
SPWR.OQ,7.16,-235979000.0,518458000,-4.27807486631016,174269000,377026000,56037000,27887670,21566000,26516173.0,-19.1212026643214,1268514000.0,511493000.0,1050346000.0,0.0,544.486692015209,18.3043798635062,-27.4569402228976,1254372622.12
TECH.OQ,78.4,165864000.0,350000000,-2.29312063808573,157641910,180571000,285263000,102342440,7805000,3140196.0,32.3576623750429,621482000.0,2017210000.0,128509000.0,980.0,179.688753409273,15.3017861803145,-5.90148021164325,12400866060.8
SPTN.OQ,21.76,-16638000.0,503581000,-6.56934306569342,35079000,29086000,34518000,60392500,19422000,783137.0,-40.2358171957689,1066411000.0,1240150000.0,704970000.0,98.9090909090909,37.7338859312952,71.8152338994168,-3.03030303030306,753252776.96
PTSI.OQ,23.06,103374000.0,265195000,4.6754425783023,22293690,74087000,90673000,28900000,7929000,60478.0,189.823008849558,280766000.0,468396000.0,141965000.0,0.0,65.8857142857143,52.2379966202702,-10.8275328692962,508112572.2
PZZA.OQ,75.7,-15350000.0,622941000,-1.71384056089327,34736000,47373000,67362000,51532730,24232000,2331110.0,57.2802498903989,251039000.0,613188000.0,265157000.0,167.477876106195,133.537962178944,,-7.95146155851459,2478180453.4
VLGEA.OQ,22.55,23314000.0,98931000,-4.44915254237288,14513000,134832000,26830000,,,386055.0,7.82923517875999,237965000.0,686483000.0,158169000.0,0.0,0.0,113.576140880184,-3.13573883161515,335029138.4
TTGT.OQ,28.75,76674000.0,455694000,-4.29427430093209,29023090,,41609000,16467500,,1294700.0,-22.5466393399548,430837000.0,333880000.0,57888000.0,0.0,77.7027027027027,16.8324273165333,-11.4839901477832,799846505.0
HTBK.OQ,8.67,37575000.0,39350000,-4.19889502762432,60852720,,66555000,,8948000,545378.0,-10.0546927944868,,,,66.6923076923077,34.4498748360949,80.1239584741169,-8.42234644396556,529660313.85
IBKR.OQ,91.08,3859000000.0,8958000000,0.540898553924269,102887830,3436000000,380000000,,1018000000,2186792.0,46.7110000423567,,,,0.0,61.0795549803175,9.31140400833332,4.40856521241266,38877682619.16
VNDA.OQ,5.19,31305000.0,0,-11.1301369863014,56783760,135029000,6275000,,,2658055.0,87.0465929972059,519292000.0,114955000.0,91436000.0,0.0,0.0,126.063468858009,-10.2076124567474,298469960.97
AVNW.OQ,35.24,,,21.5591583304588,11440690,22242000,11528000,12179600,,353723.0,117.497046081134,237704000.0,126792000.0,130061000.0,0.0,45.6671893425946,57.6511147779521,15.2764147857376,406271881.36
TTEK.OQ,157.35,279507000.0,258754000,0.025427499841073,52981000,185094000,263125000,133366750,11584000,570565.0,-68.1257509619918,1158216000.0,1464560000.0,916017000.0,605.192307692308,109.270833333333,17.2636451459631,-6.85641498088457,8378195632.05
HSIC.OQ,76.54,506000000.0,1149000000,0.0915391656859,131792820,117000000,538000000,289378710,44000000,2953477.0,151.292673595213,3988000000.0,4619000000.0,2224000000.0,0.0,57.7551405395208,31.8302343697836,-2.85569234674451,9994944671.68
VECO.OQ,29.19,83879000.0,274660000,3.99002493765586,51660410,154925000,166942000,,9311000,5549112.0,37.8059587471352,668901000.0,459282000.0,257904000.0,0.0,78.4677419354839,60.4747803392205,3.65767045454546,1644725874.75
WABC.OQ,44.03,67709000.0,57792000,-4.13672980622686,26913000,,122034000,,1925000,330585.0,78.3627270334299,,,,104.833333333333,30.7186760899444,37.9137194801084,-9.69041550668536,1173336360.98
