Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
CHPT.N,7.16,-285612000.0,294936000,-0.555555555555556,348330480,264162000,-344459000,-43819300,9434000,65970323.0,74.9657436419307,704170000.0,375787000.0,284336000.0,0.0,0.0,8.55805150816641,-17.3210161662817,2529718838.92
NET.N,65.03,-39769000.0,1436192000,11.5246098439376,330086000,204178000,-77501000,51874630,4984000,19551702.0,-47.0767067877671,1887884000.0,700024000.0,397870000.0,0.0,659.26601784266,4.18117092333955,-5.43841791478841,21734228144.58
HIMS.N,6.71,-33778000.0,0,-3.03468208092485,208429310,46772000,-65678000,11638000,0,17683751.0,16.8763180552896,216595000.0,149746000.0,47941000.0,0.0,0.0,23.4109211305007,-25.1950947603122,1415962424.36
PING.N,28.5,18506000.0,292286000,0,83754450,220607000,,,,,NaN,401144000.0,776889000.0,121510000.0,0.0,0.0,38.77029387979,NaN,2459035461.0
AMTD.N,1.22,209210850.0,160479100,-12.2239010000719,271535550,,136668000,,2773000,446672.0,207.823770946621,5933199900.0,2338091870.0,425309130.0,0.0,0.0,303.850566007531,-19.205298013245,285238554.68
DT.N,48.2,333345000.0,0,5.56285589137102,290411110,555348000,107959000,92030230,3409000,4814220.0,169.987847085065,1118184000.0,1647163000.0,1037043000.0,0.0,183.165494964849,13.0642955587751,-11.8668860852076,14136580410.0
RMM.N,15.5,-19631190.0,233480000,2.31023102310231,19739630,,,,,7078.0,196.675651392633,,,,0.0,0.0,103.903700974673,-1.62895398588028,305964234.0
IFS.N,23.33,-2125915000.0,14948139000,0.344086021505369,115417630,,434151000,,,41080.0,5.14861995753716,,,,0.0,29.8074588917707,90.6307347807766,-4.93072534637327,2692693331.23
NOVA.N,13.91,-1201634000.0,5410939000,3.03703703703704,114939080,360257000,-161642000,77111650,107715000,30085259.0,-40.697462194113,948389000.0,7388503000.0,541946000.0,0.0,0.0,61.5153040838871,-21.2344280860702,1700621883.22
PHR.N,28.47,-116326000.0,7897000,6.74915635545556,53215940,176683000,-176146000,-15936330,1043000,2107444.0,84.5362452308907,262441000.0,107616000.0,79039000.0,0.0,0.0,14.4265443196525,-10.2459016393442,1539238066.08
ORCC.N,13.92,-271154000.0,7281744000,4.26966292134832,392476690,,466355000,,307539000,11388191.0,-17.1021777283915,,,,37.2192513368984,29.7754010695187,129.321787764333,-1.19878288709934,5425081522.56
AMK.N,28.89,57383000.0,118261000,4.22077922077923,73847600,123274000,103261000,64250000,6520000,208740.0,1.43489924511822,187205000.0,1315725000.0,73820000.0,0.0,49.1209575951304,66.315983706401,-3.3779264214047,2145430133.37
IAA.N,39.89,221000000.0,1242900000,0,133800000,195900000,292400000,,51000000,,NaN,788400000.0,2574500000.0,450000000.0,0.0,0.0,10.6025783362333,NaN,5339625258.27
AMCR.N,9.74,12000000.0,6746000000,1.77638453500522,1447000000,,1041000000,462980000,288000000,25145770.0,-12.4655135478052,5308000000.0,11695000000.0,4476000000.0,0.0,64.9333333333333,27.415713284673,-5.06822612085768,14108330293.8
CHWY.N,23.98,119282000.0,0,-13.2416787264834,425348890,330441000,49232000,67055370,,16319742.0,330.504729884003,1520321000.0,994755000.0,1769349000.0,0.0,0.0,1.10083253495804,-29.2625368731563,10319319922.56
FVRR.N,28.15,27739000.0,452764000,-0.283386468296145,37537560,86752000,-71487000,15635880,875000,2604758.0,-15.8467111534795,625221000.0,298581000.0,197098000.0,0.0,63.7772440980561,24.5649422492737,-6.60252156602519,1062872752.35
FINS.N,11.83,,,0.33927056827821,,,,,,10383.0,103.942595805078,,,,0.0,0.0,,0.548738383224467,296491007.54
GOTU.N,2.88,20593000.0,0,-7.09677419354839,172858540,819911000,13172000,,,5454686.0,16.4092777022185,4166477000.0,709698000.0,1609222000.0,0.0,0.0,,-31.2649164677805,754726970.88
CTVA.N,50.51,-151000000.0,1307000000,0.158635732698787,713419000,3191000000,1147000000,75367850,79000000,4813324.0,90.1715469053835,16795000000.0,25823000000.0,10744000000.0,329.420204787061,0.0,60.2459558505635,-10.207336523126,35850179640.0
RVLV.N,14.65,18269000.0,0,-3.49143610013175,73363630,234724000,58697000,11597330,,9192002.0,30.6192011983553,518217000.0,61101000.0,181086000.0,0.0,150.025601638505,23.2517392993452,-25.709939148073,1076458809.05
AVTR.N,21.65,677800000.0,6287500000,2.26735947094944,674300000,372900000,662300000,310865470,265800000,10941613.0,89.1491869869357,2657900000.0,10806400000.0,1658800000.0,0.0,85.7255988913086,34.1473371655174,5.25036460865329,14633634009.5
KTB.N,45.79,-48473000.0,799899000,-6.47467320261438,55516870,59179000,245493000,99933330,34919000,2658728.0,37.9315595588795,982269000.0,599992000.0,440429000.0,95.3958333333333,38.8874734607219,11.3051841396,8.09726156751656,2569932887.54
DM.N,1.8,-193048000.0,113340000,13.9240506329114,318133430,76291000,-740343000,-8102500,10078000,68318774.0,215.591855954436,336416000.0,417931000.0,83387000.0,0.0,0.0,122.13384136966,-1.09890109890109,581526678.6
FSLY.N,23.79,-149950000.0,749171000,24.4246861924686,124336170,96875000,-190774000,-2200430,5887000,13453622.0,-14.8528822916707,636483000.0,1259630000.0,152321000.0,0.0,0.0,94.8169987194377,29.5046271094175,3073668000.0
PSN.N,57.02,206933000.0,747597000,3.9372949325556,104703000,262539000,98840000,111853290,23087000,3054837.0,12.5581146319481,1719783000.0,2478359000.0,1108119000.0,0.0,92.4643650574862,42.6899045207578,15.3783893160664,5980561744.68
ALTG.N,14.23,-57400000.0,805100000,0.565371024734983,31332060,,6300000,48000000,32100000,1007635.0,-44.046808403319,663300000.0,627300000.0,471200000.0,0.0,299.578947368421,32.9218444112532,-11.5407365162131,460598233.76
MNRL.N,32.5,-55018000.0,93000000,0,59731410,20819000,50283000,,994000,,NaN,54703000.0,766174000.0,21651000.0,0.0,0.0,42.3308071573874,NaN,1964499615.0
PSTL.N,14.43,-116874000.0,196662000,-0.207468879668058,19555270,,3854000,8991000,5379000,1126976.0,0.261292862767557,,,,60.546301346872,524.727272727273,82.8517302890172,-2.69347552949626,297569659.14
JMIA.N,3.07,-251325000.0,13847000,0.326797385620908,201232560,71579000,-237805000,,18864000,9760505.0,24.6025967958576,291457000.0,38764000.0,143172000.0,0.0,0.0,54.0959012687575,-37.2188139059305,308891979.6
PD.N,25.76,6662000.0,282908000,10.0384451089278,91178670,206868000,-128423000,13743670,5433000,6433077.0,153.160227717179,600336000.0,217537000.0,271077000.0,0.0,174.64406779661,8.99043873768367,-0.617283950617331,2375209352.32
UBER.N,47.23,390000000.0,9664000000,7.41414600864225,2005486000,4208000000,-9141000000,1012928570,565000000,43646751.0,6.84244461725994,9249000000.0,22860000000.0,8853000000.0,0.0,399.949191294775,14.8818896441411,-4.50869389405579,96515574948.42
BALY.N,16.6,-234188000.0,3488555000,12.6951799049559,46670060,212515000,-425546000,152952000,208153000,2002186.0,-7.6790327248561,522713000.0,5777400000.0,755802000.0,0.0,0.0,87.9787936473655,1.965601965602,757446927.8
PINS.N,27.49,440218000.0,0,2.95880149812734,683202000,1136698000,-96047000,128113670,15210000,22845570.0,10.2567086834868,3454677000.0,408053000.0,380531000.0,0.0,138.509598427974,19.9281294416855,-5.17419799931004,18418475496.16
DOW.N,54.56,3639000000.0,15422000000,1.2996658002228,704879920,3886000000,4582000000,1261281290,662000000,12882439.0,68.4715508170908,20477000000.0,40126000000.0,11331000000.0,77.0262448293874,125.728770595691,58.4223930909134,-2.14703244863519,38359747829.92
LEVI.N,13.77,-213300000.0,996200000,-1.64285714285715,393731790,429600000,569100000,177550000,25700000,9088798.0,2.76931018166698,2827900000.0,3209900000.0,1981600000.0,114.75,50.9811181044058,29.9622088149121,-7.89199409231579,5462100761.94
TME.N,6.82,6428000000.0,5965000000,0.738552437223053,3432154260,402000000,3677000000,1453397500,115000000,15870931.0,49.9546564658304,26559000000.0,40450000000.0,11717000000.0,0.0,56.1830134758102,49.0790431597995,-2.43204577968528,11703646026.6
UTZ.N,15.44,-56929000.0,944735000,3.48525469168901,140231330,72930000,-392000,51107670,44424000,6022520.0,-2.57222299137016,372186000.0,2468180000.0,237433000.0,257.333333333333,97.5424853117695,31.6309731054199,-7.82089552238808,2169172038.48
AMR.N,202.84,1306336000.0,10975000,4.29864253393666,15500000,301906000,1448545000,196234000,,807806.0,-39.816581199573,1114421000.0,1198058000.0,402625000.0,0.0,22.2901098901099,61.2579541454039,17.0996420736635,2776367226.16
LIN.N,387.04,3347000000.0,17914000000,2.83770857689446,492457630,5436000000,4147000000,3052782000,98000000,3197915.0,1.93590215014225,13047000000.0,66611000000.0,16479000000.0,302.966731898239,108.349920075697,24.9141899096596,-0.929172959275115,188854567202.56
ETRN.N,9.6,150952000.0,6985013000,-0.414937759336109,432781000,67898000,-327854000,251833250,250694000,14839763.0,130.560783148442,389702000.0,10055883000.0,413310000.0,64.0,82.2551623682632,31.7007392005201,-6.01262935673076,4159305600.0
CLVT.N,7.43,206200000.0,5006000000,4.94350282485875,674408670,348800000,-4035600000,265131430,269100000,43607623.0,-36.3101233898023,1395200000.0,12549700000.0,1559800000.0,0.0,41.2090959511925,96.3925994278296,-21.8717139852787,5024420945.59
YETI.N,49.95,54965000.0,96352000,11.4457831325301,86431000,,89693000,75616670,4466000,8704108.0,21.5700362985431,718920000.0,357845000.0,409040000.0,0.0,92.5908762303742,14.7766038801679,17.2535211267606,4332486476.7
SWI.N,10.65,133756000.0,1202103000,-2.2038567493113,161928530,121738000,-929413000,75427500,83374000,873069.0,77.9742120599164,307393000.0,2892613000.0,456633000.0,0.0,58.5164835164835,90.5105744534769,1.04364326375717,1754462394.45
BCSF.N,15.75,-404634000.0,1385303000,4.09781890284203,64562270,30205000,105480000,,52318000,522233.0,135.99247140582,,,,37.5,29.1396854764107,145.308362009758,6.99728260869568,1016855673.75
MSC.N,6.99,-630901000.0,2434476000,4.7976011994003,842864460,509523000,-326451000,,92358000,23933.0,60.7142857142857,553849000.0,3039673000.0,247389000.0,0.0,0.0,69.7497994213882,-1.54929577464789,1472905643.85
ACA.N,78.22,26500000.0,550600000,3.65756692287305,48400000,160400000,245800000,89575000,31000000,494485.0,47.5316290596061,856800000.0,2483800000.0,367700000.0,1564.4,116.312267657993,83.1334455348572,1.34749935216383,3814144319.66
REZI.N,16.86,67000000.0,1416000000,5.04672897196261,146000000,326000000,283000000,153000000,58000000,1432566.0,-16.807684915205,2502000000.0,3885000000.0,1546000000.0,0.0,61.3090909090909,105.413147236942,-9.93589743589747,2489424926.64
LTHM.N,21.47,117800000.0,241900000,1.32137800849456,179548550,189000000,273500000,134200000,0,27448150.0,16.028508071336,544000000.0,1530200000.0,148700000.0,0.0,45.3297863356135,40.486438442896,-12.7944760357433,3858489401.83
ESTC.N,61.88,32978000.0,567543000,2.67131242740999,97331010,644167000,-236161000,34672000,25159000,2083507.0,85.8775427995972,1274280000.0,469202000.0,716619000.0,0.0,303.645910005398,7.22091718391015,-6.87735139202413,6026548025.68
FSR.N,5.87,-643526000.0,660822000,4.07801418439717,319953940,736549000,-547496000,-45055250,18426000,81625590.0,-39.3947540860839,831454000.0,683972000.0,330881000.0,0.0,0.0,21.1901266671708,-4.8622366288493,2014514827.92
ELAN.N,12.2,268000000.0,5836000000,6.45724258289702,474237740,345000000,-74000000,186715000,241000000,9396894.0,-12.6967856600802,3279000000.0,12212000000.0,1702000000.0,0.0,98.0392156862745,125.785396087951,1.07705053852527,6010642076.0
EB.N,10.13,4159000.0,355580000,-0.686274509803907,99169430,539299000,-55384000,8076250,11269000,10634972.0,-41.8053169097907,683159000.0,212220000.0,360979000.0,0.0,0.0,28.799584287626,-11.989574283232,1014861529.32
HNGR.N,18.72,11351000.0,517245000,0,38748620,61692000,41982000,,28747000,,NaN,318329000.0,679810000.0,226805000.0,0.0,0.0,15.6986535291386,NaN,732387539.52
NIO.N,10.27,-10838862000.0,16207991000,-10.695652173913,1662159870,19887575000,-14559445000,,333216000,95984333.0,6.75875536698028,59149752000.0,37114173000.0,45852054000.0,0.0,0.0,21.3534869506094,-32.875816993464,17333108398.97
FTCH.N,2.85,-707468000.0,1107943000,-40.1260504201681,394830550,734221000,-837693000,15432250,79209000,33777407.0,-22.9705251285017,1589420000.0,2086496000.0,882878000.0,0.0,0.0,41.5421583294916,-50.6920415224913,1004932668.9
VRT.N,39.39,-267600000.0,3190900000,19.3998181267051,377368840,260600000,,285926000,147300000,7959197.0,-22.6868288192115,3158700000.0,3937000000.0,1897900000.0,0.0,90.5288317896624,27.9771044422742,51.4417531718571,14988988269.45
DAVA.N,48.9,106752000.0,55897000,7.11938663745893,56763870,162806000,83093000,39293000,6995000,1229817.0,76.9434704524074,328178000.0,293677000.0,128414000.0,0.0,85.5876905098635,10.514564923913,-6.78612276019822,2775753243.0
BE.N,14.99,-308546000.0,874000000,3.73702422145329,205664690,348498000,-301408000,21968570,53493000,29598728.0,-15.13072205498,1055963000.0,890664000.0,541946000.0,0.0,0.0,9.13162775878314,-16.0694288913774,3139231807.65
ARLO.N,9.77,-47972000.0,0,-4.12168792934249,88887140,84024000,-56626000,6500000,,3691345.0,42.1671239372692,232782000.0,39419000.0,162278000.0,0.0,144.740740740741,28.2398624985673,-13.9964788732395,918916793.11
GB.N,5.48,-9276000.0,806063000,-5.19031141868512,189855750,112015000,,,,102884.0,-85.7792990781438,470651000.0,686645000.0,392563000.0,0.0,0.0,0.035491560143091,9.81963927855718,1040409493.56
BJ.N,67.39,390337000.0,881924000,-1.72086918477467,133903000,33915000,513177000,267204820,41606000,8558248.0,5.25799381562404,1703245000.0,4646711000.0,2545341000.0,0.0,71.1931373999028,11.1721381171561,1.62871361785553,9012169087.11
EPRT.N,24.02,-711266000.0,1420778000,2.82534246575343,142379660,62345000,134130000,82604000,40370000,2121647.0,72.6704329985123,,,,85.7857142857143,88.962962962963,74.463312085863,-2.15885947046842,3747325395.02
BV.N,8.28,-400000.0,1384400000,-0.361010830324923,93000000,20100000,14000000,98222400,52300000,1189213.0,41.5433792537693,677100000.0,2628400000.0,488400000.0,0.0,24.448578262025,164.784269115138,7.39299610894941,773352000.0
USX.N,6.14,-155670000.0,488111000,0,51481480,2275000,-40457000,,19054000,,NaN,337403000.0,1044062000.0,466778000.0,0.0,0.0,256.250095435848,NaN,331909556.34
AVLR.N,93.48,10795000.0,961259000,0,87087000,1514064000,,,,,NaN,1775624000.0,922907000.0,567673000.0,0.0,0.0,9.14703737681136,NaN,8278390809.36
BRMK.N,4.82,-55762000.0,97789000,0,131645150,54964000,-116391000,,8638000,,NaN,,,,0.0,0.0,196.121708861241,NaN,635036484.56
OAK_pa.N,21.68,-2941071000.0,1213054000,1.02516309412861,160002850,176130000,223418000,,160111000,6230.0,705.709266578832,,,,0.0,0.0,51.948024325792,-2.23865929203542,8224198187.52
WH.N,75.39,244000000.0,2077000000,1.53535353535354,86400000,161000000,355000000,196567780,80000000,3095766.0,-44.4446004549266,545000000.0,3578000000.0,406000000.0,215.4,59.2688679245283,15.2737163675484,-3.24691991786449,6352131309.72
TALO.N,17.22,386575000.0,750710000,1.47318797878609,82570330,44145000,381915000,236764400,117940000,10810722.0,68.9988529144592,367829000.0,2690797000.0,607058000.0,0.0,194.950752858598,74.7677990926142,7.62499999999999,2136243717.3
HUYA.N,2.68,-601984000.0,0,12.6050420168067,239788000,9018298000,-486656000,,,4273417.0,-27.7989013751721,10453531000.0,2693476000.0,2201131000.0,0.0,0.0,165.984293739502,-21.865889212828,645045951.84
BHa.N,919.0,98079000.0,79395000,NaN,2275500,37467000,-32305000,,5470000,452.0,3600,150654000.0,677820000.0,134897000.0,0.0,0.0,127.395085651992,-8.66989982509143,574875056.0
CDAY.N,72.52,38100000.0,1221200000,6.1941719138966,153856650,431900000,-73400000,89814190,28300000,10422011.0,36.4297553702763,4894000000.0,3023200000.0,4533500000.0,0.0,243.151718357083,21.4084674410059,2.41491314786042,11285022271.04
EAF.N,3.54,242134000.0,921927000,-11.2781954887218,256597340,134641000,382962000,26533330,36568000,5652204.0,35.9692461635879,815228000.0,788950000.0,237852000.0,354.0,0.0,27.6497522767655,-32.9545454545455,909099966.0
INSP.N,226.88,2473000.0,0,7.56684999051774,29008370,441592000,-44881000,-16545750,1677000,1059471.0,-43.719284521753,530032000.0,34844000.0,61186000.0,0.0,0.0,6.81571713536869,-21.1702164622494,6655690649.28
NVT.N,56.54,231700000.0,1083200000,9.78640776699029,165300000,297500000,399800000,197465330,31200000,2095247.0,97.616564753237,1229200000.0,3673000000.0,649500000.0,323.085714285714,76.8666050356191,42.625476321362,6.92133131618749,9372890851.94
ZUO.N,9.11,-31278000.0,210403000,-7.41869918699187,135505000,203239000,-121970000,14749000,15133000,3454301.0,187.829397258209,518552000.0,150046000.0,311619000.0,0.0,165.636363636364,9.18239279017722,-22.3358908780903,1250351690.6
SMAR.N,41.73,9791000.0,0,6.07524148449414,131845030,223156000,-215639000,14561500,,4449817.0,59.4636037040186,710087000.0,400122000.0,574663000.0,0.0,564.300202839756,8.55820093010549,-6.01351351351352,5575475777.82
SPOT.N,153.97,21000000.0,1683000000,17.0251577107243,193293270,2483000000,-430000000,-16436550,132000000,3485326.0,59.3611891679622,4352000000.0,3284000000.0,3516000000.0,0.0,0.0,16.8522063134038,3.05200455123484,29974272496.29
RCUS.N,20.5,432000000.0,0,16.3450624290579,72900000,206000000,-267000000,-91150000,0,7164504.0,173.086080538785,1067000000.0,278000000.0,193000000.0,0.0,0.0,43.8763049871544,3.01507537688448,1527325112.0
GHG.N,5.46,182092930.0,401600000,-10.4918032786885,103049860,637150220,,,,51972.0,-74.841628959276,1701905720.0,3394173370.0,1234861010.0,0.0,74.2927401869159,55.2388967773099,-14.2857142857142,557897094.3
PACK.N,6.33,-44700000.0,393000000,18.0970149253731,82007470,62800000,-41400000,18705500,20700000,1936590.0,209.583712978475,139600000.0,993900000.0,39100000.0,0.0,0.0,129.506521176439,-1.24804992199695,522159319.92
EQH.N,28.8,-1392000000.0,12053000000,5.14786418400876,365081940,4281000000,1705000000,,201000000,3475478.0,168.327276514976,,,,132.110091743119,20.4894706886739,0.903936417938033,1.15748350968083,10003716000.0
WHD.N,53.34,62874000.0,12369000,5.81233882166238,60903000,344527000,110174000,104206170,1063000,2038939.0,39.890614785419,654642000.0,464254000.0,116649000.0,444.5,64.309224407123,14.9966393800726,5.28928882524673,4236774757.32
BRSP.N,6.96,25886000.0,3164061000,9.26216640502355,128872470,306320000,45788000,,169957000,2412591.0,34.9383348596649,,,,34.8,30.0427331980835,172.725787797751,-5.43478260869572,904696344.72
VICI.N,30.84,-3592116000.0,14523934000,3.94337714863498,963096560,208933000,1117635000,740176000,539953000,23273087.0,127.577127374806,,,,74.7636363636364,49.2455089820359,67.8747422159093,-2.03303684879286,31254124146.0
CAAP.N,14.07,278106000.0,1474246000,5,160826690,128954000,168200000,,196405000,1384939.0,9.49141166061568,647468000.0,3188320000.0,676319000.0,0.0,41.3823529411765,50.2546000975517,-0.42462845010619,2296543487.49
AGS.N,6.83,8471000.0,556141000,0.589101620029456,37789130,37891000,-8035000,38186400,40608000,1019750.0,15.6633385821322,146164000.0,538587000.0,58566000.0,0.0,0.0,25.6325210396711,3.17220543806647,259776741.46
GTES.N,12.28,178800000.0,2465400000,6.32034632034631,282578920,578400000,220800000,184003170,129400000,1244339.0,89.1724508586713,2277400000.0,4914200000.0,752300000.0,0.0,39.5312902395055,96.5018494102996,-9.83847283406756,3242978892.12
PAGS.N,8.98,1412568000.0,0,-0.222222222222218,329608230,,1505000000,798500000,3151552000,16343964.0,-24.2679072027811,39767078000.0,5562244000.0,29740351000.0,0.0,32.251186661834,77.7665879404626,-20.9507042253521,2959881869.48
COLD.N,33.65,-261659000.0,3317983000,7.57672634271099,269814960,53063000,-19440000,147028250,116127000,2824228.0,67.3577125572503,,,,152.954545454545,480.714285714286,49.4764716080954,3.79395434916718,9094079101.15
ADT.N,6.42,227801000.0,9828588000,2.39234449760766,916842570,257223000,173000000,651000000,265000000,15682137.0,75.5571158579066,1721996000.0,16099240000.0,2661103000.0,160.5,95.5357142857143,40.954584644031,0.626959247648906,5914264853.1
VVNT.N,12.0,19731000.0,2711932000,0,213606670,283852000,-305552000,,184993000,,NaN,447994000.0,2430548000.0,940701000.0,0.0,0.0,,NaN,2576323356.0
CNNE.N,19.63,-219400000.0,97400000,4.63752665245201,76254970,247700000,-428100000,-12600000,12300000,1645094.0,-5.60463985552546,310600000.0,2814900000.0,122700000.0,0.0,0.0,168.752278348558,-3.68007850834149,1440290750.34
CEIX.N,86.04,407998000.0,404176000,2.4895771292436,34746900,273070000,466979000,242750000,52640000,2984543.0,-31.5097174023418,598483000.0,2105894000.0,448798000.0,0.0,17.925,51.4341443639351,15.4589371980678,2751996369.24
AQUA.N,49.88,96076000.0,919863000,0,121747000,134005000,72198000,,32814000,,NaN,831389000.0,1359474000.0,483716000.0,0.0,0.0,17.6369209383931,NaN,6103836948.64
NEXA.N,6.4,-188899000.0,1674280000,25,132439000,167173000,49101000,72810000,105231000,124132.0,207.178577189869,1220146000.0,3671636000.0,898764000.0,0.0,0.0,180.595578196011,28.2565130260521,847607110.4
FINV.N,5.02,-156425000.0,0,-4.01529636711283,1426018250,3636380000,2266382000,,0,1039630.0,282.333489824662,,,,55.2063090909091,0.0,127.950588544729,-14.480408858603,1406195181.24
SE.N,37.63,-2031975000.0,4789774000,-4.71005317801975,559737960,6029859000,-1651421000,272400000,45396000,16597793.0,-25.4886672710789,12688012000.0,4314784000.0,6935692000.0,0.0,181.349397590361,19.4514929831164,-43.4305472038485,21327135224.46
QD.N,2.52,-12755690.0,145311720,16.6666666666667,252474800,3486376080,-361964000,,,1455422.0,7.00160869301281,11058526300.0,1687909090.0,584929950.0,0.0,0.0,788.877801141271,3.27868852459017,566745293.52
MCB.N,39.81,66646000.0,178345000,-6.7899789276516,10949970,,59425000,,31581000,998127.0,29.5478105451296,,,,0.0,23.3489736070381,89.7927230929218,-12.0998012806359,440407241.49
MAXR.N,52.99,6000000.0,2199000000,0,74700000,52000000,,,,,NaN,608000000.0,3998000000.0,736000000.0,0.0,0.0,,NaN,4003359367.63
CTOS.N,6.71,-294823000.0,1366708000,3.70942812982999,246070040,,38905000,104409000,87717000,2193750.0,48.2615686077476,868245000.0,2069967000.0,634878000.0,0.0,147.472527472527,57.0080700794507,-3.0346820809249,1652421918.51
SWCH.N,34.25,-225425000.0,1673338000,0,243518000,48325000,5412000,,45089000,,NaN,83472000.0,2835146000.0,168586000.0,0.0,0.0,4.72642009965922,NaN,8393457652.25
BKI.N,75.76,131400000.0,2655300000,1.82795698924731,155930400,7900000,452500000,163555830,100600000,1634463.0,148.789084317687,343700000.0,5487900000.0,271200000.0,0.0,164.032390767765,26.7087941928685,7.73606370875997,11876042218.16
DESP.N,7.95,-11333000.0,35050000,3.11284046692607,72316000,,-68542000,21900000,,445319.0,10.4121491973855,465126000.0,339066000.0,564485000.0,0.0,53.0,,0.252206809583866,525148737.75
KNX.N,54.82,556986000.0,1902072000,-2.05467214579239,160706000,196770000,771325000,270096630,50803000,4511855.0,102.662359920237,1493572000.0,9458094000.0,894007000.0,428.28125,131.066800554679,82.4618880014657,-9.76131687242797,8842137080.0
DD.N,76.89,-807000000.0,8074000000,2.75290658826674,458124260,3662000000,5798000000,756564730,486000000,5607680.0,21.8550498068091,11270000000.0,30085000000.0,3733000000.0,213.583333333333,91.26734483127,77.9272381186111,-0.953239726909638,35297201597.13
ACEL.N,11.89,60620000.0,542032000,12.3818525519849,86674390,224113000,31559000,42823000,12702000,832475.0,32.7309534389967,299212000.0,563557000.0,89905000.0,0.0,51.695652173913,26.5168415635269,4.29824561403507,1017971909.56
STR.N,25.4,-412193000.0,938896000,4.69909315746083,153885950,18818000,15701000,143044000,35499000,5298827.0,-28.6753212093484,192191000.0,4978711000.0,26412000.0,53.4736842105263,108.8586979814,38.62905273681,-5.56402204597712,3992315916.8
RNGR.N,11.91,30700000.0,44400000,-4.72,24894460,3700000,15100000,26096330,7300000,303679.0,-72.6875841527602,140100000.0,241500000.0,74500000.0,0.0,23.0590513068732,97.2022670720927,13.8822857142857,292053196.89
BVH.N,35.86,-37012000.0,866371000,1.32805877366487,15829940,175683000,64385000,44950000,42953000,227722.0,161.091703056769,,,,0.0,27.3740458015267,29.3350561587037,-8.26298286006653,742809828.04
JBGS.N,15.68,-321694000.0,2453169000,8.5121107266436,114013000,241098000,85371000,,75930000,11722522.0,28.8880394243385,,,,68.1739130434783,0.0,124.178970444711,-4.82081135164636,1621928647.36
MGY.N,22.8,756350000.0,390383000,0.44052863436124,213870000,675441000,893837000,222705700,23442000,17627040.0,-2.81279163552369,850747000.0,1721838000.0,340273000.0,190.0,44.094610014118,31.0867273316463,3.44477309877793,4781854921.2
BY.N,21.18,203103000.0,126428000,-1.35072193758733,37492780,,87954000,,36229000,654965.0,-20.0779918731157,,,,235.333333333333,35.1243781094527,88.959000735253,-3.12251849470261,925412550.9
ATUS.N,3.07,452619000.0,26587733000,-5.8282208588957,456162290,305484000,194563000,898749460,1331636000,24899218.0,165.538024871186,2568445000.0,31096521000.0,4039701000.0,0.0,53.4656913967259,,-9.43952802359882,1396019043.1
BOC.N,17.68,-45222480.0,32718630,3.33138515488019,29706250,33639930,7139550,4532500,1207540,649906.0,14.833885871482,113961240.0,573841660.0,52978740.0,0.0,0.0,64.3731785178186,-9.42622950819673,553472453.04
ECVT.N,10.24,127736000.0,885358000,5.13347022587269,122186240,110920000,73700000,73100000,37200000,2344078.0,12.7834346255313,267704000.0,1616849000.0,129403000.0,0.0,47.7767927961555,61.2827290584479,-16.680227827502,1194431313.92
PLYM.N,22.91,-220322000.0,916624000,6.45910780669145,42849490,,-26728000,30945000,30054000,484898.0,7.85074914177548,,,,100.337231200455,0.0,57.3085315676356,0.614844093104972,1013874810.44
GPMT.N,5.34,-6973000.0,2430146000,6.8,52350990,133132000,-55327000,,,223449.0,-39.1228338541553,,,,29.1278023236786,38.1428571428571,350.484119765292,-6.8062827225131,275425670.94
JHG.N,27.47,196300000.0,309700000,5.89822667694679,165657910,1176400000,361100000,127608000,12600000,2014717.0,221.398498177207,2214800000.0,4023000000.0,610500000.0,69.8395749116518,48.9469370300417,111.89665006237,-5.02385137479097,4550622650.35
WOW.N,8.1,-133400000.0,742700000,7.14285714285714,86417730,31000000,-2500000,72098000,38700000,869802.0,78.3491703304496,120900000.0,1596500000.0,164700000.0,0.0,1012.5,72.0149612964175,-1.69902912621367,677917981.8
SMHI.N,11.49,-15078000.0,328880000,-0.346921075455326,26702160,39963000,,,,443542.0,0.816365275997912,132576000.0,683054000.0,121425000.0,0.0,0.0,154.880502173719,2.2e-14,312062482.65
CARS.N,18.69,108797000.0,472383000,0.214477211796261,66287000,31715000,17206000,47709500,35320000,1719361.0,77.884190363931,148627000.0,876243000.0,106012000.0,0.0,186.9,41.9122752489198,-18.0622533976326,1242289405.77
SAFE.N,21.28,-69379000.0,1682521000,5.87064676616915,13875840,1442269000,397800000,64905000,98051000,3176980.0,28.8917856751053,,,,129.756097560976,62.5882352941176,179.702046256612,-13.9506672058229,1512275712.64
